dep_iata,airport_name,arr_iata
AMJ,Cirilo QueirÃ³z Airport,AMJ
AMK,Animas Air Park,AMK
AML,Puerto Armuelles Airport,AML
AMM,Queen Alia International Airport,AMM
AMN,Gratiot Community Airport,AMN
AMO,Mao Airport,AMO
AMP,Ampanihy Airport,AMP
AMQ,"Pattimura Airport, Ambon",AMQ
AMS,Amsterdam Airport Schiphol,AMS
AMT,Amata Airport,AMT
AMU,Amanab Airport,AMU
AMV,Amderma Airport,AMV
AMW,Ames Municipal Airport,AMW
AMX,Ammaroo Airport,AMX
AMY,Ambatomainty Airport,AMY
AMZ,Ardmore Airport,AMZ
ANA,Angama Airport,ANA
ANB,Anniston Regional Airport,ANB
ANC,Ted Stevens Anchorage International Airport,ANC
AND,Anderson Regional Airport,AND
ANE,Angers-Loire Airport,ANE
ANF,AndrÃ©s Sabella GÃ¡lvez International Airport,ANF
ANG,AngoulÃªme-Brie-Champniers Airport,ANG
ANH,Anuha Island Resort Airport,ANH
ANI,Aniak Airport,ANI
ANJ,Zanaga Airport,ANJ
ANK,Etimesgut Air Base,ANK
ANL,Andulo Airport,ANL
ANM,Antsirabato Airport,ANM
ANN,Annette Island Airport,ANN
ANO,Angoche Airport,ANO
ANP,Lee Airport,ANP
ANQ,Tri State Steuben County Airport,ANQ
ANR,Antwerp International Airport (Deurne),ANR
ANS,Andahuaylas Airport,ANS
ANU,V.C. Bird International Airport,ANU
ANV,Anvik Airport,ANV
ANW,Ainsworth Regional Airport,ANW
ANX,AndÃ¸ya Airport,ANX
ANY,Anthony Municipal Airport,ANY
ANZ,Angus Downs Airport,ANZ
AOA,Aroa Airport,AOA
AOB,Annanberg Airport,AOB
AOC,Altenburg-Nobitz Airport,AOC
AOD,Abou-DeÃ¯a Airport,AOD
AOE,Anadolu Airport,AOE
AOG,Anshan Air Base,AOG
AOH,Lima Allen County Airport,AOH
AOI,Ancona Falconara Airport,AOI
AOJ,Aomori Airport,AOJ
AOK,Karpathos Airport,AOK
AOL,Paso De Los Libres Airport,AOL
AOM,Adam Airport,AOM
AOO,Altoona Blair County Airport,AOO
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,AOP
AOQ,Aappilattoq (Qaasuitsup) Heliport,AOQ
AOR,Sultan Abdul Halim Airport,AOR
AOS,Amook Bay Seaplane Base,AOS
AOT,Aosta Airport,AOT
AOU,Attopeu Airport,AOU
APA,Centennial Airport,APA
APB,Apolo Airport,APB
APC,Napa County Airport,APC
APE,San Juan Aposento Airport,APE
APF,Naples Municipal Airport,APF
APG,Phillips Army Air Field,APG
APH,A P Hill AAF (Fort A P Hill) Airport,APH
API,Gomez Nino Apiay Air Base,API
APK,Apataki Airport,APK
APL,Nampula Airport,APL
APN,Alpena County Regional Airport,APN
APO,Antonio Roldan Betancourt Airport,APO
APP,Asapa Airport,APP
APQ,Arapiraca Airport,APQ
APR,April River Airport,APR
APS,AnÃ¡polis Airport,APS
APT,Marion County Brown Field,APT
APU,Captain JoÃ£o Busse Airport,APU
APV,Apple Valley Airport,APV
APW,Faleolo International Airport,APW
APX,Arapongas Airport,APX
APY,Alto ParnaÃ­ba Airport,APY
APZ,Zapala Airport,APZ
AQA,Araraquara Airport,AQA
AQB,Santa Cruz del Quiche Airport,AQB
AQG,Anqing Tianzhushan Airport,AQG
AQI,Al Qaisumah/Hafr Al Batin Airport,AQI
AQJ,Aqaba King Hussein International Airport,AQJ
AQM,Nova Vida Airport,AQM
AQP,RodrÃ­guez BallÃ³n International Airport,AQP
AQS,Biaugunu Airport,AQS
AQY,Girdwood Airport,AQY
ARA,Acadiana Regional Airport,ARA
ARB,Ann Arbor Municipal Airport,ARB
ARC,Arctic Village Airport,ARC
ARD,Mali Airport,ARD
ARE,Antonio Nery Juarbe Pol Airport,ARE
ARF,Acaricuara Airport,ARF
ARG,Walnut Ridge Regional Airport,ARG
ARH,Talagi Airport,ARH
ARI,Chacalluta Airport,ARI
ARJ,Arso Airport,ARJ
ARK,Arusha Airport,ARK
ARL,Arly Airport,ARL
ARM,Armidale Airport,ARM
ARN,Stockholm-Arlanda Airport,ARN
ARO,Arboletes Airport,ARO
ARP,Aragip Airport,ARP
ARQ,El Troncal Airport,ARQ
ARR,D. Casimiro Szlapelis Airport,ARR
ARS,AragarÃ§as Airport,ARS
ART,Watertown International Airport,ART
ARU,AraÃ§atuba Airport,ARU
ARV,Lakeland-Noble F. Lee Memorial field,ARV
ARW,Arad International Airport,ARW
ARX,Asbury Park Neptune Air Terminal,ARX
ARX,Aracati Airport,ARX
ARY,Ararat Airport,ARY
ARZ,N'zeto Airport,ARZ
ASA,Assab International Airport,ASA
ASB,Ashgabat International Airport,ASB
ASC,AscenciÃ³n De Guarayos Airport,ASC
ASD,Andros Town Airport,ASD
ASE,Aspen-Pitkin Co/Sardy Field,ASE
ASF,Astrakhan Airport,ASF
ASG,Ashburton Aerodrome,ASG
ASH,Boire Field,ASH
ASI,RAF Ascension Island,ASI
ASJ,Amami Airport,ASJ
ASK,Yamoussoukro Airport,ASK
ASL,Harrison County Airport,ASL
ASM,Asmara International Airport,ASM
ASN,Talladega Municipal Airport,ASN
ASO,Asosa Airport,ASO
ASP,Alice Springs Airport,ASP
ASQ,Austin Airport,ASQ
ASR,Kayseri Erkilet Airport,ASR
ASS,Arathusa Safari Lodge Airport,ASS
AST,Astoria Regional Airport,AST
ASU,Silvio Pettirossi International Airport,ASU
ASV,Amboseli Airport,ASV
ASW,Aswan International Airport,ASW
ASX,John F Kennedy Memorial Airport,ASX
ASY,Ashley Municipal Airport,ASY
ASZ,Asirim Airport,ASZ
ATA,Comandante FAP German Arias Graziani Airport,ATA
ATB,Atbara Airport,ATB
ATC,Arthur's Town Airport,ATC
ATD,Uru Harbour Airport,ATD
ATE,Antlers Municipal Airport,ATE
ATF,ChachoÃ¡n Airport,ATF
ATG,Minhas Air Base,ATG
ATH,Eleftherios Venizelos International Airport,ATH
ATI,Artigas International Airport,ATI
ATJ,Antsirabe Airport,ATJ
ATK,Atqasuk Edward Burnell Sr Memorial Airport,ATK
ATL,Hartsfield Jackson Atlanta International Airport,ATL
ATM,Altamira Airport,ATM
ATN,Namatanai Airport,ATN
ATO,Ohio University Snyder Field,ATO
ATP,Aitape Airport,ATP
ATQ,Sri Guru Ram Dass Jee International Airport,ATQ
ATR,Atar International Airport,ATR
ATS,Artesia Municipal Airport,ATS
ATT,Atmautluak Airport,ATT
ATU,Casco Cove Coast Guard Station,ATU
ATV,Ati Airport,ATV
ATW,Appleton International Airport,ATW
ATX,Atbasar Airport,ATX
ATY,Watertown Regional Airport,ATY
ATZ,Asyut International Airport,ATZ
AUA,Queen Beatrix International Airport,AUA
AUC,Santiago Perez Airport,AUC
AUD,Augustus Downs Airport,AUD
AUE,Abu Rudeis Airport,AUE
AUF,Auxerre-Branches Airport,AUF
AUG,Augusta State Airport,AUG
AUH,Abu Dhabi International Airport,AUH
AUI,Aua Island Airport,AUI
AUJ,Ambunti Airport,AUJ
AUK,Alakanuk Airport,AUK
AUL,Aur Island Airport,AUL
AUM,Austin Municipal Airport,AUM
AUN,Auburn Municipal Airport,AUN
AUO,Auburn University Regional Airport,AUO
AUP,Agaun Airport,AUP
AUQ,Hiva Oa-Atuona Airport,AUQ
AUR,Aurillac Airport,AUR
AUS,Austin Bergstrom International Airport,AUS
AUT,Atauro Airport,AUT
AUU,Aurukun Airport,AUU
AUV,Aumo Airport,AUV
AUW,Wausau Downtown Airport,AUW
AUX,AraguaÃ­na Airport,AUX
AUY,Aneityum Airport,AUY
AUZ,Aurora Municipal Airport,AUZ
AVA,Anshun Huangguoshu Airport,AVA
AVB,Aviano Air Base,AVB
AVG,Auvergne Airport,AVG
AVI,Maximo Gomez Airport,AVI
AVK,Arvaikheer Airport,AVK
AVL,Asheville Regional Airport,AVL
AVN,Avignon-Caumont Airport,AVN
AVO,Avon Park Executive Airport,AVO
AVP,Wilkes Barre Scranton International Airport,AVP
AVR,Alverca Air Base,AVR
AVU,Avu Avu Airport,AVU
AVV,Avalon Airport,AVV
AVW,Marana Regional Airport,AVW
AVX,Catalina Airport,AVX
AWA,Awassa Airport,AWA
AWB,Awaba Airport,AWB
AWD,Aniwa Airport,AWD
AWE,Alowe Airport,AWE
AWK,Wake Island Airfield,AWK
AWM,West Memphis Municipal Airport,AWM
AWN,Alton Downs Airport,AWN
AWP,Austral Downs Airport,AWP
AWR,Awar Airport,AWR
AWZ,Ahwaz Airport,AWZ
AXA,Clayton J Lloyd International Airport,AXA
AXB,Maxson Airfield,AXB
AXC,Aramac Airport,AXC
AXD,Dimokritos Airport,AXD
AXE,XanxerÃª Airport,AXE
AXF,Alxa Left Banner Bayanhot Airport,AXF
AXG,Algona Municipal Airport,AXG
AXJ,Amakusa Airport,AXJ
AXK,Ataq Airport,AXK
AXL,Alexandria Homestead Airport,AXL
AXM,El Eden Airport,AXM
AXN,Chandler Field,AXN
AXP,Spring Point Airport,AXP
AXR,Arutua Airport,AXR
AXS,Altus Quartz Mountain Regional Airport,AXS
AXT,Akita Airport,AXT
AXU,Axum Airport,AXU
AXV,Neil Armstrong Airport,AXV
AXX,Angel Fire Airport,AXX
AYA,Ayapel Airport,AYA
AYC,Ayacucho Airport,AYC
AYD,Alroy Downs Airport,AYD
AYE,Ft Devens Moore Army Air Field,AYE
AYG,Yaguara Airport,AYG
AYH,RAF Alconbury,AYH
AYI,Yari Airport,AYI
AYK,Arkalyk North Airport,AYK
AYL,Anthony Lagoon Airport,AYL
AYM,Yas Island Seaplane Base,AYM
AYN,Anyang Airport,AYN
AYO,Juan De Ayolas Airport,AYO
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,AYP
AYQ,Ayers Rock Connellan Airport,AYQ
